Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"21157","","","WARNING","127.0.0.1","tcp","0","Unix Compliance Checks","Compliance checks for Unix systems","""1.1.1.4 Ensure mounting of hfsplus filesystems is disabled - modprobe"" : [WARNING]

The hfsplus filesystem type is a hierarchical filesystem designed to replace hfs that allows you to mount Mac OS filesystems.

Rationale:

Removing support for unneeded filesystem types reduces the local attack surface of the system. If this filesystem type is not needed, disable it.

Solution:
Edit or create a file in the /etc/modprobe.d/ directory ending in .conf
Example: vi /etc/modprobe.d/hfsplus.conf
and add the following line:

install hfsplus /bin/true

Run the following command to unload the hfsplus module:

# rmmod hfsplus

See Also: https://workbench.cisecurity.org/files/2658

Reference: 800-171|3.4.2,800-53|CM-6,800-53r5|CM-6,CSCv6|3.1,CSCv7|5.1,CSF|PR.IP-1,GDPR|32.1.b,HIPAA|164.306(a)(1),ITSG-33|CM-6,LEVEL|1S,SWIFT-CSCv1|2.3

Error:
CMD_EXEC_CHECKS do not work against the localhost - try from a different host or in command-line","Edit or create a file in the /etc/modprobe.d/ directory ending in .conf
Example: vi /etc/modprobe.d/hfsplus.conf
and add the following line:

install hfsplus /bin/true

Run the following command to unload the hfsplus module:

# rmmod hfsplus","https://workbench.cisecurity.org/files/2658",""
"21157","","","WARNING","127.0.0.1","tcp","0","Unix Compliance Checks","Compliance checks for Unix systems","""1.1.1.4 Ensure mounting of hfsplus filesystems is disabled - lsmod"" : [WARNING]

The hfsplus filesystem type is a hierarchical filesystem designed to replace hfs that allows you to mount Mac OS filesystems.

Rationale:

Removing support for unneeded filesystem types reduces the local attack surface of the system. If this filesystem type is not needed, disable it.

Solution:
Edit or create a file in the /etc/modprobe.d/ directory ending in .conf
Example: vi /etc/modprobe.d/hfsplus.conf
and add the following line:

install hfsplus /bin/true

Run the following command to unload the hfsplus module:

# rmmod hfsplus

See Also: https://workbench.cisecurity.org/files/2658

Reference: 800-171|3.4.2,800-53|CM-6,800-53r5|CM-6,CSCv7|5.1,CSF|PR.IP-1,GDPR|32.1.b,HIPAA|164.306(a)(1),ITSG-33|CM-6,LEVEL|1S,SWIFT-CSCv1|2.3

Error:
CMD_EXEC_CHECKS do not work against the localhost - try from a different host or in command-line","Edit or create a file in the /etc/modprobe.d/ directory ending in .conf
Example: vi /etc/modprobe.d/hfsplus.conf
and add the following line:

install hfsplus /bin/true

Run the following command to unload the hfsplus module:

# rmmod hfsplus","https://workbench.cisecurity.org/files/2658",""
"21157","","","WARNING","127.0.0.1","tcp","0","Unix Compliance Checks","Compliance checks for Unix systems","""1.1.1.5 Ensure mounting of squashfs filesystems is disabled - modprobe"" : [WARNING]

The squashfs filesystem type is a compressed read-only Linux filesystem embedded in small footprint systems (similar to cramfs ). A squashfs image can be used without having to first decompress the image.

Rationale:

Removing support for unneeded filesystem types reduces the local attack surface of the system. If this filesystem type is not needed, disable it.

Solution:
Edit or create a file in the /etc/modprobe.d/ directory ending in .conf
Example: vi /etc/modprobe.d/squashfs.conf
and add the following line:

install squashfs /bin/true

Run the following command to unload the squashfs module:

# rmmod squashfs

See Also: https://workbench.cisecurity.org/files/2658

Reference: 800-171|3.4.2,800-53|CM-6,800-53r5|CM-6,CSCv6|3.1,CSCv7|5.1,CSF|PR.IP-1,GDPR|32.1.b,HIPAA|164.306(a)(1),ITSG-33|CM-6,LEVEL|1S,SWIFT-CSCv1|2.3

Error:
CMD_EXEC_CHECKS do not work against the localhost - try from a different host or in command-line","Edit or create a file in the /etc/modprobe.d/ directory ending in .conf
Example: vi /etc/modprobe.d/squashfs.conf
and add the following line:

install squashfs /bin/true

Run the following command to unload the squashfs module:

# rmmod squashfs","https://workbench.cisecurity.org/files/2658",""
"21157","","","WARNING","127.0.0.1","tcp","0","Unix Compliance Checks","Compliance checks for Unix systems","""1.1.1.5 Ensure mounting of squashfs filesystems is disabled - lsmod"" : [WARNING]

The squashfs filesystem type is a compressed read-only Linux filesystem embedded in small footprint systems (similar to cramfs ). A squashfs image can be used without having to first decompress the image.

Rationale:

Removing support for unneeded filesystem types reduces the local attack surface of the system. If this filesystem type is not needed, disable it.

Solution:
Edit or create a file in the /etc/modprobe.d/ directory ending in .conf
Example: vi /etc/modprobe.d/squashfs.conf
and add the following line:

install squashfs /bin/true

Run the following command to unload the squashfs module:

# rmmod squashfs

See Also: https://workbench.cisecurity.org/files/2658

Reference: 800-171|3.4.2,800-53|CM-6,800-53r5|CM-6,CSCv7|5.1,CSF|PR.IP-1,GDPR|32.1.b,HIPAA|164.306(a)(1),ITSG-33|CM-6,LEVEL|1S,SWIFT-CSCv1|2.3

Error:
CMD_EXEC_CHECKS do not work against the localhost - try from a different host or in command-line","Edit or create a file in the /etc/modprobe.d/ directory ending in .conf
Example: vi /etc/modprobe.d/squashfs.conf
and add the following line:

install squashfs /bin/true

Run the following command to unload the squashfs module:

# rmmod squashfs","https://workbench.cisecurity.org/files/2658",""
"21157","","","WARNING","127.0.0.1","tcp","0","Unix Compliance Checks","Compliance checks for Unix systems","""1.1.1.6 Ensure mounting of udf filesystems is disabled - modprobe"" : [WARNING]

The udf filesystem type is the universal disk format used to implement ISO/IEC 13346 and ECMA-167 specifications. This is an open vendor filesystem type for data storage on a broad range of media. This filesystem type is necessary to support writing DVDs and newer optical disc formats.

Rationale:

Removing support for unneeded filesystem types reduces the local attack surface of the system. If this filesystem type is not needed, disable it.

Solution:
Edit or create a file in the /etc/modprobe.d/ directory ending in .conf
Example: vi /etc/modprobe.d/udf.conf
and add the following line:

install udf /bin/true

Run the following command to unload the udf module:

# rmmod udf

See Also: https://workbench.cisecurity.org/files/2658

Reference: 800-171|3.4.2,800-53|CM-6,800-53r5|CM-6,CSCv6|3.1,CSCv7|5.1,CSF|PR.IP-1,GDPR|32.1.b,HIPAA|164.306(a)(1),ITSG-33|CM-6,LEVEL|1S,SWIFT-CSCv1|2.3

Error:
CMD_EXEC_CHECKS do not work against the localhost - try from a different host or in command-line","Edit or create a file in the /etc/modprobe.d/ directory ending in .conf
Example: vi /etc/modprobe.d/udf.conf
and add the following line:

install udf /bin/true

Run the following command to unload the udf module:

# rmmod udf","https://workbench.cisecurity.org/files/2658",""
"21157","","","WARNING","127.0.0.1","tcp","0","Unix Compliance Checks","Compliance checks for Unix systems","""1.1.1.6 Ensure mounting of udf filesystems is disabled - lsmod"" : [WARNING]

The udf filesystem type is the universal disk format used to implement ISO/IEC 13346 and ECMA-167 specifications. This is an open vendor filesystem type for data storage on a broad range of media. This filesystem type is necessary to support writing DVDs and newer optical disc formats.

Rationale:

Removing support for unneeded filesystem types reduces the local attack surface of the system. If this filesystem type is not needed, disable it.

Solution:
Edit or create a file in the /etc/modprobe.d/ directory ending in .conf
Example: vi /etc/modprobe.d/udf.conf
and add the following line:

install udf /bin/true

Run the following command to unload the udf module:

# rmmod udf

See Also: https://workbench.cisecurity.org/files/2658

Reference: 800-171|3.4.2,800-53|CM-6,800-53r5|CM-6,CSCv7|5.1,CSF|PR.IP-1,GDPR|32.1.b,HIPAA|164.306(a)(1),ITSG-33|CM-6,LEVEL|1S,SWIFT-CSCv1|2.3

Error:
CMD_EXEC_CHECKS do not work against the localhost - try from a different host or in command-line","Edit or create a file in the /etc/modprobe.d/ directory ending in .conf
Example: vi /etc/modprobe.d/udf.conf
and add the following line:

install udf /bin/true

Run the following command to unload the udf module:

# rmmod udf","https://workbench.cisecurity.org/files/2658",""
"21157","","","WARNING","127.0.0.1","tcp","0","Unix Compliance Checks","Compliance checks for Unix systems","""1.1.2 Ensure /tmp is configured - systemctl"" : [WARNING]

The /tmp directory is a world-writable directory used for temporary storage by all users and some applications.

Rationale:

Making /tmp its own file system allows an administrator to set the noexec option on the mount, making /tmp useless for an attacker to install executable code. It would also prevent an attacker from establishing a hardlink to a system setuid program and wait for it to be updated. Once the program was updated, the hardlink would be broken and the attacker would have his own copy of the program. If the program happened to have a security vulnerability, the attacker could continue to exploit the known flaw.

This can be accomplished by either mounting tmpfs to /tmp, or creating a separate partition for /tmp.

Solution:
Configure /etc/fstab as appropriate.

example:
tmpfs/tmptmpfs     defaults,rw,nosuid,nodev,noexec,relatime  0 0

OR
Run the following commands to enable systemd /tmp mounting:

systemctl unmask tmp.mount
systemctl enable tmp.mount

Edit /etc/systemd/system/local-fs.target.wants/tmp.mount to configure the /tmp mount:

[Mount]
What=tmpfs
Where=/tmp
Type=tmpfs
Options=mode=1777,strictatime,noexec,nodev,nosuid

Impact:

Since the /tmp directory is intended to be world-writable, there is a risk of resource exhaustion if it is not bound to a separate partition.

Running out of /tmp space is a problem regardless of what kind of filesystem lies under it, but in a default installation a disk-based /tmp will essentially have the whole disk available, as it only creates a single / partition. On the other hand, a RAM-based /tmp as with tmpfs will almost certainly be much smaller, which can lead to applications filling up the filesystem much more easily.

/tmp utalizing tmpfs can be resized using the size={size} parameter on the Options line on the tmp.mount file

References:

AJ Lewis, 'LVM HOWTO', http://tldp.org/HOWTO/LVM-HOWTO/

https://www.freedesktop.org/wiki/Software/systemd/APIFileSystems/

Notes:

If an entry for /tmp exists in /etc/fstab it will take precedence over entries in the tmp.mount file

See Also: https://workbench.cisecurity.org/files/2658

Reference: 800-171|3.4.2,800-53|CM-6,800-53r5|CM-6,CSCv6|9.1,CSCv7|5.1,CSF|PR.IP-1,GDPR|32.1.b,HIPAA|164.306(a)(1),ITSG-33|CM-6,LEVEL|1S,SWIFT-CSCv1|2.3

Error:
CMD_EXEC_CHECKS do not work against the localhost - try from a different host or in command-line","Configure /etc/fstab as appropriate.

example:
tmpfs/tmptmpfs     defaults,rw,nosuid,nodev,noexec,relatime  0 0

OR
Run the following commands to enable systemd /tmp mounting:

systemctl unmask tmp.mount
systemctl enable tmp.mount

Edit /etc/systemd/system/local-fs.target.wants/tmp.mount to configure the /tmp mount:

[Mount]
What=tmpfs
Where=/tmp
Type=tmpfs
Options=mode=1777,strictatime,noexec,nodev,nosuid

Impact:

Since the /tmp directory is intended to be world-writable, there is a risk of resource exhaustion if it is not bound to a separate partition.

Running out of /tmp space is a problem regardless of what kind of filesystem lies under it, but in a default installation a disk-based /tmp will essentially have the whole disk available, as it only creates a single / partition. On the other hand, a RAM-based /tmp as with tmpfs will almost certainly be much smaller, which can lead to applications filling up the filesystem much more easily.

/tmp utalizing tmpfs can be resized using the size={size} parameter on the Options line on the tmp.mount file

References:

AJ Lewis, 'LVM HOWTO', http://tldp.org/HOWTO/LVM-HOWTO/

https://www.freedesktop.org/wiki/Software/systemd/APIFileSystems/

Notes:

If an entry for /tmp exists in /etc/fstab it will take precedence over entries in the tmp.mount file","https://workbench.cisecurity.org/files/2658",""
"21157","","","WARNING","127.0.0.1","tcp","0","Unix Compliance Checks","Compliance checks for Unix systems","""1.1.2 Ensure /tmp is configured - mount"" : [WARNING]

The /tmp directory is a world-writable directory used for temporary storage by all users and some applications.

Rationale:

Making /tmp its own file system allows an administrator to set the noexec option on the mount, making /tmp useless for an attacker to install executable code. It would also prevent an attacker from establishing a hardlink to a system setuid program and wait for it to be updated. Once the program was updated, the hardlink would be broken and the attacker would have his own copy of the program. If the program happened to have a security vulnerability, the attacker could continue to exploit the known flaw.

This can be accomplished by either mounting tmpfs to /tmp, or creating a separate partition for /tmp.

Solution:
Configure /etc/fstab as appropriate.

example:
tmpfs/tmptmpfs     defaults,rw,nosuid,nodev,noexec,relatime  0 0

OR
Run the following commands to enable systemd /tmp mounting:

systemctl unmask tmp.mount
systemctl enable tmp.mount

Edit /etc/systemd/system/local-fs.target.wants/tmp.mount to configure the /tmp mount:

[Mount]
What=tmpfs
Where=/tmp
Type=tmpfs
Options=mode=1777,strictatime,noexec,nodev,nosuid

Impact:

Since the /tmp directory is intended to be world-writable, there is a risk of resource exhaustion if it is not bound to a separate partition.

Running out of /tmp space is a problem regardless of what kind of filesystem lies under it, but in a default installation a disk-based /tmp will essentially have the whole disk available, as it only creates a single / partition. On the other hand, a RAM-based /tmp as with tmpfs will almost certainly be much smaller, which can lead to applications filling up the filesystem much more easily.

/tmp utalizing tmpfs can be resized using the size={size} parameter on the Options line on the tmp.mount file

References:

AJ Lewis, 'LVM HOWTO', http://tldp.org/HOWTO/LVM-HOWTO/

https://www.freedesktop.org/wiki/Software/systemd/APIFileSystems/

Notes:

If an entry for /tmp exists in /etc/fstab it will take precedence over entries in the tmp.mount file

See Also: https://workbench.cisecurity.org/files/2658

Reference: 800-171|3.4.2,800-53|CM-6,800-53r5|CM-6,CSCv7|5.1,CSF|PR.IP-1,GDPR|32.1.b,HIPAA|164.306(a)(1),ITSG-33|CM-6,LEVEL|1S,SWIFT-CSCv1|2.3

Error:
CMD_EXEC_CHECKS do not work against the localhost - try from a different host or in command-line","Configure /etc/fstab as appropriate.

example:
tmpfs/tmptmpfs     defaults,rw,nosuid,nodev,noexec,relatime  0 0

OR
Run the following commands to enable systemd /tmp mounting:

systemctl unmask tmp.mount
systemctl enable tmp.mount

Edit /etc/systemd/system/local-fs.target.wants/tmp.mount to configure the /tmp mount:

[Mount]
What=tmpfs
Where=/tmp
Type=tmpfs
Options=mode=1777,strictatime,noexec,nodev,nosuid

Impact:

Since the /tmp directory is intended to be world-writable, there is a risk of resource exhaustion if it is not bound to a separate partition.

Running out of /tmp space is a problem regardless of what kind of filesystem lies under it, but in a default installation a disk-based /tmp will essentially have the whole disk available, as it only creates a single / partition. On the other hand, a RAM-based /tmp as with tmpfs will almost certainly be much smaller, which can lead to applications filling up the filesystem much more easily.

/tmp utalizing tmpfs can be resized using the size={size} parameter on the Options line on the tmp.mount file

References:

AJ Lewis, 'LVM HOWTO', http://tldp.org/HOWTO/LVM-HOWTO/

https://www.freedesktop.org/wiki/Software/systemd/APIFileSystems/

Notes:

If an entry for /tmp exists in /etc/fstab it will take precedence over entries in the tmp.mount file","https://workbench.cisecurity.org/files/2658",""
"21157","","","WARNING","127.0.0.1","tcp","0","Unix Compliance Checks","Compliance checks for Unix systems","""1.1.3 Ensure nodev option set on /tmp partition"" : [WARNING]

The nodev mount option specifies that the filesystem cannot contain special devices.

Rationale:

Since the /tmp filesystem is not intended to support devices, set this option to ensure that users cannot attempt to create block or character special devices in /tmp .

Solution:
Edit the /etc/fstab file and add nodev to the fourth field (mounting options) for the /tmp partition. See the fstab(5) manual page for more information.
Run the following command to remount /tmp :

# mount -o remount,nodev /tmp

OR
Edit /etc/systemd/system/local-fs.target.wants/tmp.mount to add nodev to the /tmp mount options:

[Mount]
Options=mode=1777,strictatime,noexec,nodev,nosuid

Run the following command to remount /tmp :

# mount -o remount,nodev /tmp

See Also: https://workbench.cisecurity.org/files/2658

Reference: 800-171|3.4.2,800-53|CM-6,800-53r5|CM-6,CSCv7|5.1,CSF|PR.IP-1,GDPR|32.1.b,HIPAA|164.306(a)(1),ITSG-33|CM-6,LEVEL|1S,SWIFT-CSCv1|2.3

Error:
CMD_EXEC_CHECKS do not work against the localhost - try from a different host or in command-line","Edit the /etc/fstab file and add nodev to the fourth field (mounting options) for the /tmp partition. See the fstab(5) manual page for more information.
Run the following command to remount /tmp :

# mount -o remount,nodev /tmp

OR
Edit /etc/systemd/system/local-fs.target.wants/tmp.mount to add nodev to the /tmp mount options:

[Mount]
Options=mode=1777,strictatime,noexec,nodev,nosuid

Run the following command to remount /tmp :

# mount -o remount,nodev /tmp","https://workbench.cisecurity.org/files/2658",""
"21157","","","WARNING","127.0.0.1","tcp","0","Unix Compliance Checks","Compliance checks for Unix systems","""1.1.4 Ensure nosuid option set on /tmp partition"" : [WARNING]

The nosuid mount option specifies that the filesystem cannot contain setuid files.

Rationale:

Since the /tmp filesystem is only intended for temporary file storage, set this option to ensure that users cannot create setuid files in /tmp .

Solution:
Edit the /etc/fstab file and add nosuid to the fourth field (mounting options) for the /tmp partition. See the fstab(5) manual page for more information.
Run the following command to remount /tmp :

# mount -o remount,nosuid /tmp

OR
Edit /etc/systemd/system/local-fs.target.wants/tmp.mount to add nosuid to the /tmp mount options:

[Mount]
Options=mode=1777,strictatime,noexec,nodev,nosuid

Run the following command to remount /tmp :

# mount -o remount,nosuid /tmp

See Also: https://workbench.cisecurity.org/files/2658

Reference: 800-171|3.4.2,800-53|CM-6,800-53r5|CM-6,CSCv7|5.1,CSF|PR.IP-1,GDPR|32.1.b,HIPAA|164.306(a)(1),ITSG-33|CM-6,LEVEL|1S,SWIFT-CSCv1|2.3

Error:
CMD_EXEC_CHECKS do not work against the localhost - try from a different host or in command-line","Edit the /etc/fstab file and add nosuid to the fourth field (mounting options) for the /tmp partition. See the fstab(5) manual page for more information.
Run the following command to remount /tmp :

# mount -o remount,nosuid /tmp

OR
Edit /etc/systemd/system/local-fs.target.wants/tmp.mount to add nosuid to the /tmp mount options:

[Mount]
Options=mode=1777,strictatime,noexec,nodev,nosuid

Run the following command to remount /tmp :

# mount -o remount,nosuid /tmp","https://workbench.cisecurity.org/files/2658",""
